agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
16189,873,2354,8,2,MANDATORY,2013375
16190,2631,2354,8,4,MANDATORY,4615093
16191,1788,809,7,2,MANDATORY,4189703
16192,1439,983,7,4,MANDATORY,4189704
16193,1755,2354,7,0,MANDATORY,4189706
16194,1523,2354,8,3,INDIVIDUAL_NON_MANDATORY,4189707
16195,1364,2354,8,1,MANDATORY,3197257
16196,1508,2354,8,3,INDIVIDUAL_NON_MANDATORY,1511915
16197,2563,2354,7,0,MANDATORY,5261616
16198,2570,2719,8,2,MANDATORY,5485796
16199,1919,2354,7,3,MANDATORY,5485797
16200,2099,1154,8,1,INDIVIDUAL_NON_MANDATORY,3221556
16201,873,2354,7,2,INDIVIDUAL_NON_MANDATORY,3221557
16202,809,2354,7,1,MANDATORY,3221558
16203,1271,2672,8,3,MANDATORY,159111
16204,2172,2354,7,2,MANDATORY,3054880
16205,2336,2354,7,0,MANDATORY,7636219
16206,1381,2354,7,3,MANDATORY,5485781
16207,1705,2354,8,1,MANDATORY,1580402
16208,1520,2354,8,4,MANDATORY,4971114
16209,2318,2354,7,4,MANDATORY,1927962
16210,1524,2354,7,0,MANDATORY,1927963
16211,1508,2354,8,0,INDIVIDUAL_NON_MANDATORY,5086733
16212,2028,2354,8,1,MANDATORY,5086735
16213,1889,2354,7,5,MANDATORY,5485735
16214,1385,2354,7,3,MANDATORY,3197251
16215,885,2354,7,2,INDIVIDUAL_NON_MANDATORY,7872387
16216,2573,2354,7,3,MANDATORY,5042507
16217,1410,2354,7,0,MANDATORY,3394147
16218,1364,2354,8,2,MANDATORY,1770885
16219,1514,2354,7,3,MANDATORY,5219615
16220,888,203,7,2,MANDATORY,5219619
16221,2479,981,7,4,MANDATORY,5219619
16222,502,2354,8,0,MANDATORY,5219620
16223,1108,2354,8,4,MANDATORY,6520916
16224,1689,2354,8,0,INDIVIDUAL_NON_MANDATORY,7804415
16225,2276,2354,8,1,MANDATORY,1770925
16226,1689,2354,7,3,MANDATORY,1647263
16227,2355,1410,7,2,INDIVIDUAL_NON_MANDATORY,1647263
16228,1275,2391,7,3,INDIVIDUAL_NON_MANDATORY,1647263
16229,2297,1381,7,2,INDIVIDUAL_NON_MANDATORY,1647263
16230,1689,2354,7,2,MANDATORY,1647265
16231,1705,2354,7,1,MANDATORY,538705
16232,1520,2354,8,3,MANDATORY,538706
16233,1690,674,7,5,INDIVIDUAL_NON_MANDATORY,538706
16234,2155,2560,8,3,INDIVIDUAL_NON_MANDATORY,538706
16235,1108,2354,7,3,MANDATORY,4971102
16236,1443,2354,7,2,INDIVIDUAL_NON_MANDATORY,7571441
16237,509,2354,8,1,INDIVIDUAL_NON_MANDATORY,7571442
16238,888,2354,7,2,INDIVIDUAL_NON_MANDATORY,1461458
16239,2533,2354,7,1,MANDATORY,7006047
16240,1531,2354,8,4,MANDATORY,7006048
16241,1661,232,8,3,MANDATORY,7006049
16242,1890,2354,8,4,INDIVIDUAL_NON_MANDATORY,7006050
16243,2027,2354,8,3,INDIVIDUAL_NON_MANDATORY,3814027
16244,324,2354,7,4,INDIVIDUAL_NON_MANDATORY,5170375
16245,1526,2354,7,1,MANDATORY,5170376
16246,2172,2354,7,3,MANDATORY,1770825
16247,2319,2354,7,5,MANDATORY,4971136
16248,1363,2354,8,3,INDIVIDUAL_NON_MANDATORY,2523118
16249,2172,2354,8,5,INDIVIDUAL_NON_MANDATORY,2523120
16250,1524,2354,7,4,MANDATORY,3247355
16251,107,2711,7,5,MANDATORY,3197263
16252,882,1375,8,4,INDIVIDUAL_NON_MANDATORY,3186836
16253,1819,2354,8,1,MANDATORY,5676012
16254,1525,2354,8,0,MANDATORY,5676013
16255,1274,2354,8,5,MANDATORY,5866572
16256,2563,824,7,1,MANDATORY,1421029
16257,1820,320,8,3,INDIVIDUAL_NON_MANDATORY,3297439
16258,2615,2354,7,2,MANDATORY,3297441
16259,1742,2354,8,3,MANDATORY,3297442
16260,1440,2354,7,5,MANDATORY,159086
16261,2560,2354,8,0,INDIVIDUAL_NON_MANDATORY,365901
16262,1527,2354,7,1,INDIVIDUAL_NON_MANDATORY,7872309
16264,1826,1385,7,0,INDIVIDUAL_NON_MANDATORY,7872309
16265,503,2354,8,3,MANDATORY,3231726
16266,2172,2354,8,0,INDIVIDUAL_NON_MANDATORY,3231727
16267,1533,2354,7,5,MANDATORY,744836
16268,1435,1410,8,0,INDIVIDUAL_NON_MANDATORY,744838
16269,2559,2354,8,2,INDIVIDUAL_NON_MANDATORY,1461434
16270,2550,342,8,2,MANDATORY,3394151
16271,2570,2354,7,5,MANDATORY,3197284
16272,1275,2354,8,3,MANDATORY,3197285
16273,1444,2354,8,2,MANDATORY,2013386
16274,507,2354,7,2,MANDATORY,2013387
16275,2027,2354,8,3,INDIVIDUAL_NON_MANDATORY,7872386
16276,1520,2633,8,0,MANDATORY,1927950
16277,503,2354,7,3,MANDATORY,1927951
16278,1833,2354,7,0,MANDATORY,6520940
16279,2496,2354,7,2,MANDATORY,6520941
16280,502,2354,8,3,INDIVIDUAL_NON_MANDATORY,6520942
16281,1524,2354,7,1,MANDATORY,6520943
16282,2533,2354,7,2,MANDATORY,2013398
16283,2549,2354,7,3,MANDATORY,2013399
16284,886,2354,8,4,MANDATORY,1690360
16285,2336,2354,7,1,MANDATORY,5105122
16286,1523,2354,8,2,MANDATORY,3186776
16287,1441,2354,7,3,MANDATORY,3186777
16288,889,2354,7,2,MANDATORY,3186829
16289,508,2354,8,3,MANDATORY,6046402
16290,2100,2354,8,4,INDIVIDUAL_NON_MANDATORY,6046404
16291,1365,2354,7,0,INDIVIDUAL_NON_MANDATORY,5170391
16292,2355,217,7,4,INDIVIDUAL_NON_MANDATORY,5170391
16293,1622,1499,7,5,INDIVIDUAL_NON_MANDATORY,5170391
16294,324,2354,7,3,MANDATORY,5170393
16295,1270,2354,7,0,MANDATORY,5170395
16296,1889,1566,8,1,MANDATORY,5485694
16297,1823,2354,7,4,MANDATORY,5485695
16298,1889,2442,7,2,MANDATORY,4971110
16299,2697,84,8,3,MANDATORY,4971110
16300,1410,2354,8,4,MANDATORY,7872317
16301,1401,471,8,0,MANDATORY,5676064
16302,1689,2354,8,2,MANDATORY,5676065
16303,1523,171,7,1,MANDATORY,2013430
16304,1410,2354,8,5,MANDATORY,2013431
16305,1788,2354,8,3,INDIVIDUAL_NON_MANDATORY,5052111
16306,2615,2354,8,3,MANDATORY,3186817
16307,2559,2354,7,2,MANDATORY,2013415
16308,2099,2354,7,3,MANDATORY,2013394
16309,1946,2463,8,4,MANDATORY,159103
16310,1820,1203,7,5,INDIVIDUAL_NON_MANDATORY,7606057
16311,2274,2354,7,4,MANDATORY,7606059
16312,506,2354,7,4,MANDATORY,2222834
16313,1107,1939,7,5,MANDATORY,2222835
16314,1755,2354,7,0,INDIVIDUAL_NON_MANDATORY,7872360
16315,1890,1829,7,4,INDIVIDUAL_NON_MANDATORY,5105169
16316,389,2336,8,3,INDIVIDUAL_NON_MANDATORY,5105169
16317,1437,2354,8,2,MANDATORY,5105170
16318,1823,2354,8,5,MANDATORY,5676068
16319,1385,2354,8,4,MANDATORY,5676069
16320,1519,2354,8,5,INDIVIDUAL_NON_MANDATORY,1421033
16321,2659,2101,7,3,INDIVIDUAL_NON_MANDATORY,3197277
16322,1701,2162,8,5,INDIVIDUAL_NON_MANDATORY,3197277
16323,948,1559,8,3,INDIVIDUAL_NON_MANDATORY,3197277
16324,633,1498,8,4,INDIVIDUAL_NON_MANDATORY,3197277
16325,1890,973,8,4,INDIVIDUAL_NON_MANDATORY,1367014
16326,1525,841,8,2,INDIVIDUAL_NON_MANDATORY,5485813
16327,1820,2354,8,0,MANDATORY,3563486
16328,1524,2354,8,0,MANDATORY,3563487
16329,1411,2354,7,1,MANDATORY,3705280
16330,1498,2354,8,4,INDIVIDUAL_NON_MANDATORY,1367082
16331,2533,2354,7,3,MANDATORY,1927981
16332,888,2354,8,5,MANDATORY,5086742
16333,1499,2354,8,3,MANDATORY,3043749
16334,1820,887,7,2,INDIVIDUAL_NON_MANDATORY,1461427
16335,1705,2354,8,5,INDIVIDUAL_NON_MANDATORY,5485730
16336,2424,1485,8,0,INDIVIDUAL_NON_MANDATORY,5485730
16337,882,837,7,3,MANDATORY,5485731
16338,2172,2354,8,4,MANDATORY,5261606
16339,1381,2354,8,4,MANDATORY,7733474
16340,1833,2354,8,5,MANDATORY,7733477
16341,1381,2354,7,3,MANDATORY,3705293
16342,1514,2354,7,0,MANDATORY,7550513
16343,2550,1878,8,0,INDIVIDUAL_NON_MANDATORY,2222828
16344,1820,1376,7,0,MANDATORY,2222829
16345,1410,2354,8,1,MANDATORY,2222830
16346,2570,2354,8,1,INDIVIDUAL_NON_MANDATORY,1461433
16347,883,2354,8,4,MANDATORY,4971096
