,1-PGA-1-1
0.000000000000000000e+00,1.349250814897389628e+00
1.000000000000000000e+00,2.851735165514507564e+00
2.000000000000000000e+00,8.037040806113369129e+00
3.000000000000000000e+00,1.808584936214884253e+00
4.000000000000000000e+00,8.313370783674193243e-01
5.000000000000000000e+00,1.764493021548246610e+00
6.000000000000000000e+00,1.436315893959334122e+00
7.000000000000000000e+00,1.163418847729067673e+00
8.000000000000000000e+00,1.437664150337415014e+00
9.000000000000000000e+00,2.859665547298381405e+00
1.000000000000000000e+01,3.224736079669025646e+00
1.100000000000000000e+01,5.644205006649714917e+00
1.200000000000000000e+01,1.406612987183265107e+00
1.300000000000000000e+01,1.408245626460282951e+00
1.400000000000000000e+01,1.394822775919761115e+00
1.500000000000000000e+01,3.876397939275060822e-01
1.600000000000000000e+01,1.509173319791719425e+00
1.700000000000000000e+01,1.388308192833286103e+00
1.800000000000000000e+01,3.647872363346531532e+00
1.900000000000000000e+01,7.910089665490205313e-01
2.000000000000000000e+01,2.748541997765661993e+00
2.100000000000000000e+01,1.237648385562333919e+00
2.200000000000000000e+01,2.622271590121160845e+00
2.300000000000000000e+01,6.951483854828863773e-01
2.400000000000000000e+01,4.389107062583258667e+00
2.500000000000000000e+01,2.074784268859834580e+00
2.600000000000000000e+01,4.441937102164777329e+00
2.700000000000000000e+01,2.785915521123964123e+00
2.800000000000000000e+01,3.379680487255638965e+00
2.900000000000000000e+01,1.612463929901661652e+00
3.000000000000000000e+01,5.423586647842843611e+00
3.100000000000000000e+01,3.272779529372507490e+00
3.200000000000000000e+01,1.530929667932445115e+00
3.300000000000000000e+01,2.364711154530837245e+00
3.400000000000000000e+01,1.906709717242952351e+00
3.500000000000000000e+01,3.810693653959946303e+00
3.600000000000000000e+01,2.540930615552537297e+00
3.700000000000000000e+01,1.658871078893823681e+00
3.800000000000000000e+01,2.516524810686797675e+00
3.900000000000000000e+01,1.906844676245220471e+00
4.000000000000000000e+01,1.236154948077817561e+00
4.100000000000000000e+01,1.483007124994424553e+00
4.200000000000000000e+01,4.266717782199195952e+00
4.300000000000000000e+01,1.661130064970982145e+00
4.400000000000000000e+01,3.410928570904917745e+00
4.500000000000000000e+01,2.086243753908968657e+00
4.600000000000000000e+01,2.821407392387653701e+00
4.700000000000000000e+01,1.531071365259770944e+00
4.800000000000000000e+01,4.850926971529977649e+00
4.900000000000000000e+01,9.161085834513391646e-01
5.000000000000000000e+01,2.720200791408128538e+00
5.100000000000000000e+01,2.118782181338706661e+00
5.200000000000000000e+01,3.190052269053282430e+00
5.300000000000000000e+01,1.675027860968206772e+00
5.400000000000000000e+01,1.007303625416842374e+00
5.500000000000000000e+01,4.080284956805417806e+00
5.600000000000000000e+01,2.639192669130643321e+00
5.700000000000000000e+01,1.009657025643373673e+00
5.800000000000000000e+01,3.441139720174177352e+00
5.900000000000000000e+01,2.380230483791597518e+00
6.000000000000000000e+01,9.130187286973123761e-01
6.100000000000000000e+01,7.302912169732999059e-01
6.200000000000000000e+01,1.908234841935898984e+00
6.300000000000000000e+01,2.141634793124476577e+00
6.400000000000000000e+01,4.112568842319486606e+00
6.500000000000000000e+01,1.261853314599580056e+00
6.600000000000000000e+01,1.019648482046950910e+00
6.700000000000000000e+01,2.265705348131841212e+00
6.800000000000000000e+01,4.459399415803518174e+00
6.900000000000000000e+01,3.615370060969773203e+00
7.000000000000000000e+01,7.335009767914915102e-01
7.100000000000000000e+01,2.559506778264329263e+00
7.200000000000000000e+01,3.421557869835064380e+00
7.300000000000000000e+01,3.505540144542659498e+00
7.400000000000000000e+01,8.368834130811749761e-01
7.500000000000000000e+01,3.218691201849961825e+00
7.600000000000000000e+01,6.859361093973719292e-01
7.700000000000000000e+01,1.559205657671027145e+00
7.800000000000000000e+01,1.877206626277053703e+00
7.900000000000000000e+01,1.058506857215207431e+00
8.000000000000000000e+01,4.936853398005229820e+00
8.100000000000000000e+01,7.063994630105675521e-01
8.200000000000000000e+01,2.417433664407242944e+00
8.300000000000000000e+01,2.419821495949922241e+00
8.400000000000000000e+01,2.655840547105706495e+00
8.500000000000000000e+01,1.685605663796878373e+00
8.600000000000000000e+01,1.220492757329041611e+00
8.700000000000000000e+01,3.864249837179356994e+00
8.800000000000000000e+01,1.629709374839311664e+00
8.900000000000000000e+01,3.403795268787069173e+00
9.000000000000000000e+01,3.168906766234914407e+00
9.100000000000000000e+01,1.487968794324075583e+00
9.200000000000000000e+01,1.791916071072256811e+00
9.300000000000000000e+01,3.751408180760258393e+00
9.400000000000000000e+01,5.397798228256647235e+00
9.500000000000000000e+01,2.373743692044585352e+00
9.600000000000000000e+01,4.208009194404451314e+00
9.700000000000000000e+01,3.488964925904523895e+00
9.800000000000000000e+01,1.323470328332742696e+00
9.900000000000000000e+01,1.276707498013311737e+00
