,1-PGA-1-1
0.000000000000000000e+00,1.792679250932825763e+00
1.000000000000000000e+00,3.619850573598967003e+00
2.000000000000000000e+00,7.221736608046611217e+00
3.000000000000000000e+00,2.510877518868516400e+00
4.000000000000000000e+00,1.530651433134371464e+00
5.000000000000000000e+00,2.704123672427324987e+00
6.000000000000000000e+00,2.114206032222794907e+00
7.000000000000000000e+00,1.534670028378202433e+00
8.000000000000000000e+00,1.344260456096298295e+00
9.000000000000000000e+00,3.154047646429972485e+00
1.000000000000000000e+01,3.450224956571013024e+00
1.100000000000000000e+01,6.181926382814329379e+00
1.200000000000000000e+01,1.313248550184340058e+00
1.300000000000000000e+01,1.224062576149357762e+00
1.400000000000000000e+01,1.440782465079311736e+00
1.500000000000000000e+01,8.503050524308508606e-01
1.600000000000000000e+01,1.736607616387325193e+00
1.700000000000000000e+01,1.814575713759354558e+00
1.800000000000000000e+01,4.006301222667022266e+00
1.900000000000000000e+01,1.630402735883553111e+00
2.000000000000000000e+01,2.843180861686469552e+00
2.100000000000000000e+01,1.677391459236053928e+00
2.200000000000000000e+01,2.984834085121043312e+00
2.300000000000000000e+01,1.083939554999763910e+00
2.400000000000000000e+01,5.044745972576544446e+00
2.500000000000000000e+01,2.452382177520401996e+00
2.600000000000000000e+01,4.138070488517617385e+00
2.700000000000000000e+01,2.654087079122914972e+00
2.800000000000000000e+01,3.871711395070056572e+00
2.900000000000000000e+01,2.403029290715699151e+00
3.000000000000000000e+01,5.013274123863736165e+00
3.100000000000000000e+01,2.393167161041992230e+00
3.200000000000000000e+01,1.633026036353080857e+00
3.300000000000000000e+01,3.090940849780910327e+00
3.400000000000000000e+01,2.429505168428888418e+00
3.500000000000000000e+01,4.796298821363696341e+00
3.600000000000000000e+01,2.886399851043779829e+00
3.700000000000000000e+01,2.181862739310713728e+00
3.800000000000000000e+01,3.688642098398738689e+00
3.900000000000000000e+01,2.887680429068411936e+00
4.000000000000000000e+01,1.612324106833276982e+00
4.100000000000000000e+01,1.439919642137259759e+00
4.200000000000000000e+01,4.815445976699073150e+00
4.300000000000000000e+01,1.956035330236583381e+00
4.400000000000000000e+01,3.650436521599398354e+00
4.500000000000000000e+01,2.383819428726004386e+00
4.600000000000000000e+01,2.952409183846961493e+00
4.700000000000000000e+01,1.643709615247619382e+00
4.800000000000000000e+01,4.404388858956449049e+00
4.900000000000000000e+01,1.438524809617193645e+00
5.000000000000000000e+01,3.273583605729276869e+00
5.100000000000000000e+01,2.602595625387417400e+00
5.200000000000000000e+01,2.849759601797073216e+00
5.300000000000000000e+01,2.369285763204987294e+00
5.400000000000000000e+01,1.586488902792307254e+00
5.500000000000000000e+01,3.630481094389621965e+00
5.600000000000000000e+01,2.648886832937994651e+00
5.700000000000000000e+01,1.118452623237428112e+00
5.800000000000000000e+01,4.198280686336723022e+00
5.900000000000000000e+01,3.345661861955768313e+00
6.000000000000000000e+01,9.028901040697077107e-01
6.100000000000000000e+01,7.726766234126888344e-01
6.200000000000000000e+01,2.342270254123348217e+00
6.300000000000000000e+01,2.505886211432629906e+00
6.400000000000000000e+01,5.135443165288995360e+00
6.500000000000000000e+01,1.975450422758396885e+00
6.600000000000000000e+01,1.812941591495137450e+00
6.700000000000000000e+01,2.116837761207698065e+00
6.800000000000000000e+01,5.499779894119011026e+00
6.900000000000000000e+01,3.420055677506155689e+00
7.000000000000000000e+01,6.552748099236478385e-01
7.100000000000000000e+01,3.723742056234393694e+00
7.200000000000000000e+01,3.206698366287413560e+00
7.300000000000000000e+01,4.132234009549797804e+00
7.400000000000000000e+01,9.910072541378069921e-01
7.500000000000000000e+01,3.042750394676061454e+00
7.600000000000000000e+01,1.307116496165801500e+00
7.700000000000000000e+01,2.317112408445155314e+00
7.800000000000000000e+01,2.677216890352914547e+00
7.900000000000000000e+01,1.481435478618615909e+00
8.000000000000000000e+01,3.379536599103393879e+00
8.100000000000000000e+01,1.053507442147379791e+00
8.200000000000000000e+01,2.120032252837174891e+00
8.300000000000000000e+01,2.112835472089904076e+00
8.400000000000000000e+01,3.464114244590930092e+00
8.500000000000000000e+01,1.960023308846783108e+00
8.600000000000000000e+01,1.183005669862925879e+00
8.700000000000000000e+01,3.401360083020523728e+00
8.800000000000000000e+01,2.087677446567134609e+00
8.900000000000000000e+01,3.179913569474025259e+00
9.000000000000000000e+01,3.349292585432094960e+00
9.100000000000000000e+01,2.023215500289065272e+00
9.200000000000000000e+01,2.534910675952329662e+00
9.300000000000000000e+01,4.028891201696264801e+00
9.400000000000000000e+01,5.895425791640906077e+00
9.500000000000000000e+01,3.452759049543608683e+00
9.600000000000000000e+01,3.838530423168051264e+00
9.700000000000000000e+01,3.571525688476907323e+00
9.800000000000000000e+01,1.338584054947172586e+00
9.900000000000000000e+01,1.729786425159241192e+00
