,1-PGA-1-1
0.000000000000000000e+00,1.543327286898765749e+00
1.000000000000000000e+00,3.087485398860590369e+00
2.000000000000000000e+00,9.222991216783475110e+00
3.000000000000000000e+00,2.038694828258308167e+00
4.000000000000000000e+00,1.384081825531216614e+00
5.000000000000000000e+00,1.664409046743278608e+00
6.000000000000000000e+00,2.148043746849782831e+00
7.000000000000000000e+00,1.334073084914533247e+00
8.000000000000000000e+00,1.377758782846232322e+00
9.000000000000000000e+00,2.449433458436384825e+00
1.000000000000000000e+01,4.850903475362235540e+00
1.100000000000000000e+01,7.454850554424873543e+00
1.200000000000000000e+01,1.437696373023013230e+00
1.300000000000000000e+01,1.480284096000798133e+00
1.400000000000000000e+01,2.311568691045859048e+00
1.500000000000000000e+01,4.432627055963643259e-01
1.600000000000000000e+01,1.615710245315224336e+00
1.700000000000000000e+01,1.538456653743109692e+00
1.800000000000000000e+01,4.280470836598444073e+00
1.900000000000000000e+01,1.032814753350318471e+00
2.000000000000000000e+01,2.345737188305492271e+00
2.100000000000000000e+01,1.429435554657891849e+00
2.200000000000000000e+01,3.143138628683355584e+00
2.300000000000000000e+01,8.114192495561138863e-01
2.400000000000000000e+01,7.997363463153424945e+00
2.500000000000000000e+01,1.878819741198631377e+00
2.600000000000000000e+01,4.531224579844638889e+00
2.700000000000000000e+01,2.859552240626544783e+00
2.800000000000000000e+01,3.372805453126804132e+00
2.900000000000000000e+01,1.439887398981132716e+00
3.000000000000000000e+01,4.142853286442901961e+00
3.100000000000000000e+01,4.052443477249698667e+00
3.200000000000000000e+01,1.784005337448680839e+00
3.300000000000000000e+01,2.552254652886422281e+00
3.400000000000000000e+01,2.031283350480623806e+00
3.500000000000000000e+01,4.686229121540762321e+00
3.600000000000000000e+01,3.352770467792995035e+00
3.700000000000000000e+01,1.076740917199357606e+00
3.800000000000000000e+01,2.854510802142344872e+00
3.900000000000000000e+01,3.398223501722086315e+00
4.000000000000000000e+01,1.319433549511232595e+00
4.100000000000000000e+01,1.947439622849924445e+00
4.200000000000000000e+01,2.555884000552468116e+00
4.300000000000000000e+01,1.707386869624063719e+00
4.400000000000000000e+01,3.339362208098661799e+00
4.500000000000000000e+01,2.847040007406079098e+00
4.600000000000000000e+01,2.563327124704240845e+00
4.700000000000000000e+01,1.264425890336420277e+00
4.800000000000000000e+01,5.366360414841157223e+00
4.900000000000000000e+01,2.147732044278405361e+00
5.000000000000000000e+01,2.650857329261125273e+00
5.100000000000000000e+01,7.356476847777608796e-01
5.200000000000000000e+01,4.246678531225679620e+00
5.300000000000000000e+01,1.320283361214352524e+00
5.400000000000000000e+01,1.227876823865221345e+00
5.500000000000000000e+01,5.145949008766588229e+00
5.600000000000000000e+01,2.733263951488037691e+00
5.700000000000000000e+01,1.093973571189542193e+00
5.800000000000000000e+01,3.422803495199744805e+00
5.900000000000000000e+01,2.337201497253330817e+00
6.000000000000000000e+01,1.157190690724480220e+00
6.100000000000000000e+01,9.239275201217407307e-01
6.200000000000000000e+01,1.927476651523596818e+00
6.300000000000000000e+01,2.282495589808885672e+00
6.400000000000000000e+01,4.926127670333813491e+00
6.500000000000000000e+01,1.565730121673438724e+00
6.600000000000000000e+01,1.123446217519409318e+00
6.700000000000000000e+01,2.092768439164486072e+00
6.800000000000000000e+01,6.199306230380598137e+00
6.900000000000000000e+01,2.848062801011933765e+00
7.000000000000000000e+01,8.422910291298288943e-01
7.100000000000000000e+01,3.116385838310117951e+00
7.200000000000000000e+01,6.699514036852506571e+00
7.300000000000000000e+01,3.574766606558271498e+00
7.400000000000000000e+01,9.404196532424767829e-01
7.500000000000000000e+01,2.850687976238747368e+00
7.600000000000000000e+01,6.987183262301576159e-01
7.700000000000000000e+01,2.318730045509189264e+00
7.800000000000000000e+01,2.040270758125547257e+00
7.900000000000000000e+01,9.147317488374333561e-01
8.000000000000000000e+01,2.696199491976028373e+00
8.100000000000000000e+01,1.138301978380865664e+00
8.200000000000000000e+01,2.644376600430493163e+00
8.300000000000000000e+01,2.146588650035114565e+00
8.400000000000000000e+01,4.149623968504008609e+00
8.500000000000000000e+01,1.295267006479143390e+00
8.600000000000000000e+01,1.362286995684580448e+00
8.700000000000000000e+01,4.481637859233996046e+00
8.800000000000000000e+01,1.909828892740340622e+00
8.900000000000000000e+01,3.527070936851436134e+00
9.000000000000000000e+01,2.397319934341274106e+00
9.100000000000000000e+01,1.499258188797142566e+00
9.200000000000000000e+01,1.800088865375156111e+00
9.300000000000000000e+01,6.109275369856133509e+00
9.400000000000000000e+01,4.982083801114087329e+00
9.500000000000000000e+01,2.643619315238414202e+00
9.600000000000000000e+01,5.796930135520222294e+00
9.700000000000000000e+01,3.410217948491948814e+00
9.800000000000000000e+01,1.418881995633570758e+00
9.900000000000000000e+01,1.634700986876277851e+00
