,1-PGA-1-1
0.000000000000000000e+00,2.100335671851083941e+00
1.000000000000000000e+00,3.586189879189675800e+00
2.000000000000000000e+00,7.120494044876102713e+00
3.000000000000000000e+00,2.464806883326726705e+00
4.000000000000000000e+00,9.397336207306753453e-01
5.000000000000000000e+00,2.386517670033834193e+00
6.000000000000000000e+00,2.068905977340348645e+00
7.000000000000000000e+00,1.589836777967862380e+00
8.000000000000000000e+00,1.927248093495123715e+00
9.000000000000000000e+00,2.807746617939330669e+00
1.000000000000000000e+01,3.692706208358594644e+00
1.100000000000000000e+01,5.982066324659588652e+00
1.200000000000000000e+01,1.307528897510801258e+00
1.300000000000000000e+01,1.247624472407282692e+00
1.400000000000000000e+01,1.627943345357137472e+00
1.500000000000000000e+01,8.100732100093721577e-01
1.600000000000000000e+01,1.517296197624700582e+00
1.700000000000000000e+01,1.970393159760479129e+00
1.800000000000000000e+01,4.450339066037853009e+00
1.900000000000000000e+01,1.550658581847404349e+00
2.000000000000000000e+01,2.702558137200226973e+00
2.100000000000000000e+01,1.583134866080159631e+00
2.200000000000000000e+01,2.591060795339712008e+00
2.300000000000000000e+01,1.094026032795015535e+00
2.400000000000000000e+01,4.662815576219671243e+00
2.500000000000000000e+01,2.502952348123177462e+00
2.600000000000000000e+01,4.876519917949851290e+00
2.700000000000000000e+01,2.357295684681409931e+00
2.800000000000000000e+01,3.404778869763571691e+00
2.900000000000000000e+01,2.627820388633244963e+00
3.000000000000000000e+01,5.331298342402065238e+00
3.100000000000000000e+01,2.719471968027181052e+00
3.200000000000000000e+01,1.544409809443137327e+00
3.300000000000000000e+01,3.262944554376011386e+00
3.400000000000000000e+01,1.963721923585108664e+00
3.500000000000000000e+01,3.791764970582075733e+00
3.600000000000000000e+01,3.447794566825494567e+00
3.700000000000000000e+01,2.215405700096892971e+00
3.800000000000000000e+01,2.737897144386475468e+00
3.900000000000000000e+01,2.633134269738307776e+00
4.000000000000000000e+01,1.649075389435332939e+00
4.100000000000000000e+01,1.406115149262763708e+00
4.200000000000000000e+01,4.691648275725476935e+00
4.300000000000000000e+01,2.678714104304482646e+00
4.400000000000000000e+01,3.653269495370369491e+00
4.500000000000000000e+01,2.147872038353671797e+00
4.600000000000000000e+01,2.785494814420049980e+00
4.700000000000000000e+01,2.320270126704675917e+00
4.800000000000000000e+01,4.348753969219811388e+00
4.900000000000000000e+01,1.472324451334938722e+00
5.000000000000000000e+01,3.672599825063799894e+00
5.100000000000000000e+01,2.801481444631991113e+00
5.200000000000000000e+01,3.225608805052572414e+00
5.300000000000000000e+01,2.328103999102282717e+00
5.400000000000000000e+01,1.562891050896339618e+00
5.500000000000000000e+01,3.824197939101352972e+00
5.600000000000000000e+01,2.352203323236410348e+00
5.700000000000000000e+01,1.085484639885311520e+00
5.800000000000000000e+01,3.471765797280951471e+00
5.900000000000000000e+01,2.574811269882163689e+00
6.000000000000000000e+01,8.786573132414229326e-01
6.100000000000000000e+01,8.213102300229208064e-01
6.200000000000000000e+01,2.457169028259457377e+00
6.300000000000000000e+01,2.473943971888866944e+00
6.400000000000000000e+01,5.247780159569725988e+00
6.500000000000000000e+01,2.052603363203027165e+00
6.600000000000000000e+01,1.509501327332448017e+00
6.700000000000000000e+01,2.239207819694451373e+00
6.800000000000000000e+01,5.676291307687902687e+00
6.900000000000000000e+01,3.026548147433653746e+00
7.000000000000000000e+01,7.133785876884369825e-01
7.100000000000000000e+01,2.813695644939395279e+00
7.200000000000000000e+01,3.161599013977443029e+00
7.300000000000000000e+01,3.282354619299592713e+00
7.400000000000000000e+01,8.865418674016369849e-01
7.500000000000000000e+01,2.577996359329191467e+00
7.600000000000000000e+01,1.288585372077242219e+00
7.700000000000000000e+01,1.998476289116979832e+00
7.800000000000000000e+01,2.406463697785390377e+00
7.900000000000000000e+01,1.482999284826583608e+00
8.000000000000000000e+01,3.829470951533652023e+00
8.100000000000000000e+01,1.062069512516372605e+00
8.200000000000000000e+01,2.774140306431687630e+00
8.300000000000000000e+01,2.068756917150007979e+00
8.400000000000000000e+01,2.850915645780023322e+00
8.500000000000000000e+01,1.461205762125252328e+00
8.600000000000000000e+01,1.188853155853990540e+00
8.700000000000000000e+01,3.835146080723057072e+00
8.800000000000000000e+01,2.111376079681633211e+00
8.900000000000000000e+01,4.001282651834275228e+00
9.000000000000000000e+01,2.887175066372103416e+00
9.100000000000000000e+01,1.667128200369230040e+00
9.200000000000000000e+01,1.747363717836157404e+00
9.300000000000000000e+01,4.774736758041873586e+00
9.400000000000000000e+01,6.583883205543626715e+00
9.500000000000000000e+01,2.636444825175267237e+00
9.600000000000000000e+01,4.362034772055337406e+00
9.700000000000000000e+01,3.091263084554388030e+00
9.800000000000000000e+01,1.697599609920930952e+00
9.900000000000000000e+01,1.690340555657134036e+00
