#Num,collapses/collapsed,highest_damage_state/S,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time,inhabitants/,injuries/sev1,injuries/sev2,injuries/sev3,injuries/sev4
0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
2,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
3,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
4,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
5,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
6,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
7,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
8,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
9,1.0,4,0,1305720.0,1.0,1.0,0.4,0.2,0.05,0.1
10,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
11,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
12,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
13,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
15,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
16,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
17,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
18,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
19,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
20,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
22,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
23,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
24,1.0,4,0,1305720.0,1.0,1.0,0.4,0.2,0.05,0.1
25,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
26,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
27,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
28,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
29,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
30,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
31,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
32,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
34,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
35,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
36,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
37,0.0,1,0,26114.4,5.0,1.0,0.0005,0.0,0.0,0.0
38,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
40,1.0,4,0,1305720.0,1.0,1.0,0.4,0.2,0.05,0.1
41,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
42,1.0,4,0,1305720.0,1.0,1.0,0.4,0.2,0.05,0.1
43,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
44,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
45,0.0,4,0,1305720.0,180.0,1.0,0.05,0.01,0.0001,0.0001
46,0.0,3,0,540568.08,90.0,1.0,0.01,0.001,1e-05,1e-05
47,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
49,0.0,2,0,130572.0,30.0,1.0,0.002,0.00025,0.0,0.0
