,1-PGA-1-1
0.000000000000000000e+00,1.540329329512962975e+00
1.000000000000000000e+00,2.669146036549094880e+00
2.000000000000000000e+00,1.004809242656474133e+01
3.000000000000000000e+00,1.565996773055519098e+00
4.000000000000000000e+00,1.005461037737822139e+00
5.000000000000000000e+00,2.647397824702756086e+00
6.000000000000000000e+00,1.573529352227903022e+00
7.000000000000000000e+00,1.301478576099736717e+00
8.000000000000000000e+00,1.837852898247469779e+00
9.000000000000000000e+00,2.940950583065822244e+00
1.000000000000000000e+01,3.945770586744069330e+00
1.100000000000000000e+01,7.232740572317436722e+00
1.200000000000000000e+01,2.274446790789283135e+00
1.300000000000000000e+01,1.173160067797179851e+00
1.400000000000000000e+01,2.358513560982241852e+00
1.500000000000000000e+01,7.440237819983488432e-01
1.600000000000000000e+01,2.427406880450509341e+00
1.700000000000000000e+01,1.613147189332866827e+00
1.800000000000000000e+01,6.277424383814150133e+00
1.900000000000000000e+01,9.458613363601199309e-01
2.000000000000000000e+01,2.607223243316624917e+00
2.100000000000000000e+01,1.887771173382388756e+00
2.200000000000000000e+01,3.454969480390959635e+00
2.300000000000000000e+01,1.120301931175999632e+00
2.400000000000000000e+01,4.262393637189220819e+00
2.500000000000000000e+01,2.365592706818796742e+00
2.600000000000000000e+01,4.047023638545427460e+00
2.700000000000000000e+01,2.768505691658768697e+00
2.800000000000000000e+01,4.088437446186548918e+00
2.900000000000000000e+01,2.158587113949696157e+00
3.000000000000000000e+01,6.429064075805549727e+00
3.100000000000000000e+01,3.714924880481599967e+00
3.200000000000000000e+01,2.090981560410741125e+00
3.300000000000000000e+01,2.387664386420057738e+00
3.400000000000000000e+01,1.884619063169888920e+00
3.500000000000000000e+01,3.828579846490489658e+00
3.600000000000000000e+01,3.242925401611268743e+00
3.700000000000000000e+01,1.698784564158925425e+00
3.800000000000000000e+01,2.585386398830204602e+00
3.900000000000000000e+01,2.270383202950153390e+00
4.000000000000000000e+01,1.590302167705408998e+00
4.100000000000000000e+01,1.690696802211034910e+00
4.200000000000000000e+01,3.550061420085046660e+00
4.300000000000000000e+01,2.326083148420766467e+00
4.400000000000000000e+01,4.306860177709255666e+00
4.500000000000000000e+01,2.356847327043401386e+00
4.600000000000000000e+01,2.937233653643251952e+00
4.700000000000000000e+01,1.696404129996845089e+00
4.800000000000000000e+01,5.955333240056922328e+00
4.900000000000000000e+01,1.485076089079872208e+00
5.000000000000000000e+01,3.100832741491255540e+00
5.100000000000000000e+01,1.840170510242182145e+00
5.200000000000000000e+01,4.490347600607993428e+00
5.300000000000000000e+01,2.534558908631348917e+00
5.400000000000000000e+01,1.508678632313820822e+00
5.500000000000000000e+01,5.128436910843883645e+00
5.600000000000000000e+01,2.623770275726625911e+00
5.700000000000000000e+01,1.689461315870270486e+00
5.800000000000000000e+01,3.687299350130725628e+00
5.900000000000000000e+01,2.359922233002690994e+00
6.000000000000000000e+01,1.179894981999812797e+00
6.100000000000000000e+01,1.490022314018574434e+00
6.200000000000000000e+01,2.957622503678128734e+00
6.300000000000000000e+01,2.671365550473228989e+00
6.400000000000000000e+01,5.823362674607049705e+00
6.500000000000000000e+01,2.021245222962609223e+00
6.600000000000000000e+01,1.294443905701890163e+00
6.700000000000000000e+01,2.825979168465357905e+00
6.800000000000000000e+01,7.176550949660833290e+00
6.900000000000000000e+01,5.479685971852303439e+00
7.000000000000000000e+01,1.025637392835164974e+00
7.100000000000000000e+01,3.434050147975802769e+00
7.200000000000000000e+01,4.118592648649035404e+00
7.300000000000000000e+01,3.642853896756542031e+00
7.400000000000000000e+01,1.187750950160234131e+00
7.500000000000000000e+01,3.878477353454627075e+00
7.600000000000000000e+01,9.824638234746637666e-01
7.700000000000000000e+01,2.374583944272788738e+00
7.800000000000000000e+01,2.670960807196416376e+00
7.900000000000000000e+01,1.256061520806900589e+00
8.000000000000000000e+01,4.393634974196359622e+00
8.100000000000000000e+01,1.203248909158618707e+00
8.200000000000000000e+01,3.173321098533990359e+00
8.300000000000000000e+01,2.543358926039941625e+00
8.400000000000000000e+01,3.775374489054769356e+00
8.500000000000000000e+01,1.997991237182299429e+00
8.600000000000000000e+01,1.702509868794129799e+00
8.700000000000000000e+01,3.527380895441882380e+00
8.800000000000000000e+01,2.474832043064989051e+00
8.900000000000000000e+01,4.316316754179231552e+00
9.000000000000000000e+01,5.197266617520116760e+00
9.100000000000000000e+01,2.155759480661147087e+00
9.200000000000000000e+01,3.088726238333403540e+00
9.300000000000000000e+01,5.245484398834911133e+00
9.400000000000000000e+01,5.673698132045978504e+00
9.500000000000000000e+01,2.601994670903384765e+00
9.600000000000000000e+01,4.842074676925787635e+00
9.700000000000000000e+01,2.639302631088336071e+00
9.800000000000000000e+01,2.393548295306666684e+00
9.900000000000000000e+01,2.116014038491838889e+00
