,1-PGA-1-1
0.000000000000000000e+00,1.843375522812518152e+00
1.000000000000000000e+00,3.293463753756293855e+00
2.000000000000000000e+00,9.270964520480637461e+00
3.000000000000000000e+00,1.760903748406259739e+00
4.000000000000000000e+00,9.299210404707461963e-01
5.000000000000000000e+00,2.123597409253579649e+00
6.000000000000000000e+00,1.387916029840749133e+00
7.000000000000000000e+00,1.415934612763171119e+00
8.000000000000000000e+00,1.125635642161408656e+00
9.000000000000000000e+00,2.291906947834422947e+00
1.000000000000000000e+01,3.365493563524954990e+00
1.100000000000000000e+01,6.878535605025515309e+00
1.200000000000000000e+01,1.562220245209772651e+00
1.300000000000000000e+01,1.209921621013095416e+00
1.400000000000000000e+01,1.513877516610372842e+00
1.500000000000000000e+01,4.106158006226758306e-01
1.600000000000000000e+01,1.750891700901361592e+00
1.700000000000000000e+01,1.690961456883114611e+00
1.800000000000000000e+01,3.726870368619704443e+00
1.900000000000000000e+01,1.288817053835934923e+00
2.000000000000000000e+01,2.271345258259312327e+00
2.100000000000000000e+01,1.475098842030952317e+00
2.200000000000000000e+01,2.676716728312977800e+00
2.300000000000000000e+01,1.081659583070259778e+00
2.400000000000000000e+01,4.293487409461032911e+00
2.500000000000000000e+01,1.749777282853735016e+00
2.600000000000000000e+01,4.934589385777643500e+00
2.700000000000000000e+01,2.389045762736195844e+00
2.800000000000000000e+01,3.326411895655119633e+00
2.900000000000000000e+01,1.583260773541094402e+00
3.000000000000000000e+01,5.622650555306286435e+00
3.100000000000000000e+01,2.698153313710608625e+00
3.200000000000000000e+01,1.548669298716741860e+00
3.300000000000000000e+01,2.329495471582392341e+00
3.400000000000000000e+01,1.714779715685218697e+00
3.500000000000000000e+01,4.289907176800371147e+00
3.600000000000000000e+01,2.505011974504489203e+00
3.700000000000000000e+01,1.272799885718000956e+00
3.800000000000000000e+01,2.749387769269285187e+00
3.900000000000000000e+01,2.166518563623013538e+00
4.000000000000000000e+01,1.203913065938358562e+00
4.100000000000000000e+01,2.113260778618318625e+00
4.200000000000000000e+01,3.441343391772575977e+00
4.300000000000000000e+01,1.700410780462260796e+00
4.400000000000000000e+01,3.417260756799681776e+00
4.500000000000000000e+01,2.209963603348001016e+00
4.600000000000000000e+01,2.239074873806375710e+00
4.700000000000000000e+01,1.870516812102933191e+00
4.800000000000000000e+01,4.648420753453106791e+00
4.900000000000000000e+01,1.653429789479961887e+00
5.000000000000000000e+01,3.049681485026492833e+00
5.100000000000000000e+01,1.222699702511415465e+00
5.200000000000000000e+01,3.667760063133922444e+00
5.300000000000000000e+01,1.680194547235579705e+00
5.400000000000000000e+01,1.118146707627889258e+00
5.500000000000000000e+01,4.908167765103398139e+00
5.600000000000000000e+01,2.480980720253311844e+00
5.700000000000000000e+01,1.035591657043484881e+00
5.800000000000000000e+01,3.000772817674070669e+00
5.900000000000000000e+01,2.610883396917203836e+00
6.000000000000000000e+01,1.015156312502865310e+00
6.100000000000000000e+01,1.287841412160439125e+00
6.200000000000000000e+01,1.850749194327578007e+00
6.300000000000000000e+01,2.610679067450683011e+00
6.400000000000000000e+01,6.930882152033739807e+00
6.500000000000000000e+01,1.414282189997174921e+00
6.600000000000000000e+01,9.292605104563286256e-01
6.700000000000000000e+01,2.535046669525242269e+00
6.800000000000000000e+01,5.528582204580575699e+00
6.900000000000000000e+01,3.847127965685569695e+00
7.000000000000000000e+01,6.830238641905516106e-01
7.100000000000000000e+01,2.859717291020339225e+00
7.200000000000000000e+01,3.556764849607244816e+00
7.300000000000000000e+01,3.250577306231352548e+00
7.400000000000000000e+01,7.595125766163509651e-01
7.500000000000000000e+01,2.658395293069224952e+00
7.600000000000000000e+01,1.132670696273042177e+00
7.700000000000000000e+01,1.915378978039683266e+00
7.800000000000000000e+01,2.002004596251955260e+00
7.900000000000000000e+01,1.118746075216637381e+00
8.000000000000000000e+01,3.720247590556767570e+00
8.100000000000000000e+01,7.315962632223889095e-01
8.200000000000000000e+01,3.004769961609633278e+00
8.300000000000000000e+01,1.985604176225856721e+00
8.400000000000000000e+01,3.796270508492571860e+00
8.500000000000000000e+01,1.228687437627099088e+00
8.600000000000000000e+01,1.068517756919732165e+00
8.700000000000000000e+01,3.628138920382527388e+00
8.800000000000000000e+01,1.766842217908863644e+00
8.900000000000000000e+01,3.707341649690988117e+00
9.000000000000000000e+01,2.858773495472272330e+00
9.100000000000000000e+01,1.465983342665432732e+00
9.200000000000000000e+01,2.309557982594306225e+00
9.300000000000000000e+01,4.918544366042683080e+00
9.400000000000000000e+01,5.473849905497743862e+00
9.500000000000000000e+01,2.506635969502943873e+00
9.600000000000000000e+01,4.132628239890233424e+00
9.700000000000000000e+01,2.799047373867458166e+00
9.800000000000000000e+01,1.741807420620353319e+00
9.900000000000000000e+01,2.090547760817088818e+00
