,1-PGA-1-1
0.000000000000000000e+00,2.220397863410481953e+00
1.000000000000000000e+00,4.239621081955109005e+00
2.000000000000000000e+00,8.893590970839351684e+00
3.000000000000000000e+00,1.957915914136695745e+00
4.000000000000000000e+00,1.685713207045965278e+00
5.000000000000000000e+00,1.742311361154415428e+00
6.000000000000000000e+00,2.463828956318978580e+00
7.000000000000000000e+00,1.297641056047474262e+00
8.000000000000000000e+00,1.660748672396734404e+00
9.000000000000000000e+00,3.183880828360168280e+00
1.000000000000000000e+01,4.771294397574847856e+00
1.100000000000000000e+01,6.972978473597179594e+00
1.200000000000000000e+01,2.091254583137855505e+00
1.300000000000000000e+01,1.591575887317806748e+00
1.400000000000000000e+01,2.576790900218190572e+00
1.500000000000000000e+01,9.221919253998301924e-01
1.600000000000000000e+01,1.869272108497158635e+00
1.700000000000000000e+01,2.193611944581209450e+00
1.800000000000000000e+01,4.761319041260944296e+00
1.900000000000000000e+01,1.390823988158662150e+00
2.000000000000000000e+01,2.636524336471241625e+00
2.100000000000000000e+01,1.728950230262035426e+00
2.200000000000000000e+01,4.767617163486385756e+00
2.300000000000000000e+01,9.867255947497900470e-01
2.400000000000000000e+01,5.515384105779883583e+00
2.500000000000000000e+01,2.124536992203478913e+00
2.600000000000000000e+01,4.474821709054974228e+00
2.700000000000000000e+01,3.410623165715673810e+00
2.800000000000000000e+01,3.659953725133829217e+00
2.900000000000000000e+01,1.521763623396922283e+00
3.000000000000000000e+01,4.966961920140520625e+00
3.100000000000000000e+01,3.933039619488504890e+00
3.200000000000000000e+01,2.068761289083731914e+00
3.300000000000000000e+01,2.670431776730023632e+00
3.400000000000000000e+01,2.001173851613163635e+00
3.500000000000000000e+01,4.117684563505615181e+00
3.600000000000000000e+01,4.350091585063092126e+00
3.700000000000000000e+01,1.671396516846438196e+00
3.800000000000000000e+01,3.060254598720463015e+00
3.900000000000000000e+01,4.262662244555137647e+00
4.000000000000000000e+01,1.160578604080443332e+00
4.100000000000000000e+01,3.478949429927408854e+00
4.200000000000000000e+01,3.223414591646005967e+00
4.300000000000000000e+01,2.876273491135081350e+00
4.400000000000000000e+01,2.993575451346386807e+00
4.500000000000000000e+01,2.413421432037629710e+00
4.600000000000000000e+01,3.404425484355490195e+00
4.700000000000000000e+01,1.836717865058834276e+00
4.800000000000000000e+01,5.172024400894287055e+00
4.900000000000000000e+01,2.748560753371080967e+00
5.000000000000000000e+01,3.474908339595074835e+00
5.100000000000000000e+01,1.079276282801655773e+00
5.200000000000000000e+01,4.325536488884404562e+00
5.300000000000000000e+01,1.622616811196257558e+00
5.400000000000000000e+01,2.147833651019753098e+00
5.500000000000000000e+01,5.347993290755846729e+00
5.600000000000000000e+01,3.401113917399191777e+00
5.700000000000000000e+01,1.783308754474153490e+00
5.800000000000000000e+01,3.687531452241085805e+00
5.900000000000000000e+01,2.701743586269312214e+00
6.000000000000000000e+01,1.855539903513453881e+00
6.100000000000000000e+01,1.466045842134921395e+00
6.200000000000000000e+01,2.292064798319902508e+00
6.300000000000000000e+01,2.607644066698756369e+00
6.400000000000000000e+01,5.027737956135675645e+00
6.500000000000000000e+01,2.303377367859374747e+00
6.600000000000000000e+01,1.541911188753024797e+00
6.700000000000000000e+01,2.575138012147913269e+00
6.800000000000000000e+01,7.818496109868391386e+00
6.900000000000000000e+01,3.035186294070154389e+00
7.000000000000000000e+01,1.170506598990894931e+00
7.100000000000000000e+01,3.607764237963282827e+00
7.200000000000000000e+01,5.660121181829212311e+00
7.300000000000000000e+01,4.164239957794709568e+00
7.400000000000000000e+01,1.332826135599059825e+00
7.500000000000000000e+01,4.039204460912039885e+00
7.600000000000000000e+01,7.459381960617125218e-01
7.700000000000000000e+01,3.170163387134515176e+00
7.800000000000000000e+01,2.283232476736637651e+00
7.900000000000000000e+01,8.750823870222044221e-01
8.000000000000000000e+01,3.780214816398114408e+00
8.100000000000000000e+01,1.526276149039152097e+00
8.200000000000000000e+01,2.883656034855863304e+00
8.300000000000000000e+01,2.915505441138043441e+00
8.400000000000000000e+01,5.192799858088090303e+00
8.500000000000000000e+01,2.017390137173799225e+00
8.600000000000000000e+01,1.889597679709508204e+00
8.700000000000000000e+01,4.540832584522516591e+00
8.800000000000000000e+01,3.040432813468718631e+00
8.900000000000000000e+01,3.883791598996623406e+00
9.000000000000000000e+01,2.872418502676027607e+00
9.100000000000000000e+01,1.825034474854330568e+00
9.200000000000000000e+01,2.563196073218308335e+00
9.300000000000000000e+01,5.672538923670434663e+00
9.400000000000000000e+01,6.040532107277189589e+00
9.500000000000000000e+01,3.000200580210476531e+00
9.600000000000000000e+01,6.560622573952782588e+00
9.700000000000000000e+01,4.011335703472832748e+00
9.800000000000000000e+01,2.183263917041200042e+00
9.900000000000000000e+01,2.370897402268359766e+00
