,1-PGA-1-1
0.000000000000000000e+00,1.796242739267023936e+00
1.000000000000000000e+00,3.293463753756293855e+00
2.000000000000000000e+00,8.427185767555332774e+00
3.000000000000000000e+00,1.760903748406259739e+00
4.000000000000000000e+00,1.576684972952636654e+00
5.000000000000000000e+00,2.562321301733362588e+00
6.000000000000000000e+00,1.480794385946194280e+00
7.000000000000000000e+00,1.393821283648751796e+00
8.000000000000000000e+00,1.803725439371425709e+00
9.000000000000000000e+00,2.400529150039780291e+00
1.000000000000000000e+01,3.992367658272437669e+00
1.100000000000000000e+01,5.668020760856111728e+00
1.200000000000000000e+01,1.553833275797406266e+00
1.300000000000000000e+01,1.209921621013095416e+00
1.400000000000000000e+01,1.922719259314706441e+00
1.500000000000000000e+01,4.106158006226758306e-01
1.600000000000000000e+01,2.369858084816787169e+00
1.700000000000000000e+01,1.690961456883114611e+00
1.800000000000000000e+01,4.209165147080125458e+00
1.900000000000000000e+01,1.085815450086695666e+00
2.000000000000000000e+01,2.539753768686805024e+00
2.100000000000000000e+01,1.927183316535407975e+00
2.200000000000000000e+01,3.181650780096123121e+00
2.300000000000000000e+01,7.803645611467735499e-01
2.400000000000000000e+01,4.169305308280554456e+00
2.500000000000000000e+01,1.912509654274951343e+00
2.600000000000000000e+01,3.646490622320206043e+00
2.700000000000000000e+01,3.520609441755071956e+00
2.800000000000000000e+01,3.350500150730614468e+00
2.900000000000000000e+01,2.280870773582397426e+00
3.000000000000000000e+01,5.622650555306286435e+00
3.100000000000000000e+01,2.958683745059522252e+00
3.200000000000000000e+01,1.892324687490299917e+00
3.300000000000000000e+01,2.329495471582392341e+00
3.400000000000000000e+01,1.614476416496463340e+00
3.500000000000000000e+01,4.289907176800371147e+00
3.600000000000000000e+01,2.187123119239238633e+00
3.700000000000000000e+01,1.233135574859009598e+00
3.800000000000000000e+01,3.277615684654817230e+00
3.900000000000000000e+01,3.069304725386782451e+00
4.000000000000000000e+01,1.654181758585700601e+00
4.100000000000000000e+01,2.342672823670066240e+00
4.200000000000000000e+01,4.077509209313804561e+00
4.300000000000000000e+01,2.258205024993401810e+00
4.400000000000000000e+01,2.971747235185277169e+00
4.500000000000000000e+01,2.115671189043746736e+00
4.600000000000000000e+01,2.914579193830303172e+00
4.700000000000000000e+01,1.823375504242291445e+00
4.800000000000000000e+01,4.648420753453106791e+00
4.900000000000000000e+01,1.653429789479961887e+00
5.000000000000000000e+01,3.639317507178200906e+00
5.100000000000000000e+01,1.222699702511415465e+00
5.200000000000000000e+01,4.647769080859974089e+00
5.300000000000000000e+01,1.620335778316043696e+00
5.400000000000000000e+01,1.662805078890298160e+00
5.500000000000000000e+01,3.491059788086054105e+00
5.600000000000000000e+01,2.192254670749592904e+00
5.700000000000000000e+01,1.035591657043484881e+00
5.800000000000000000e+01,3.608688915348127857e+00
5.900000000000000000e+01,2.112344596481857462e+00
6.000000000000000000e+01,9.445799439292228428e-01
6.100000000000000000e+01,9.061720496064229469e-01
6.200000000000000000e+01,1.850749194327578007e+00
6.300000000000000000e+01,3.064709766124630086e+00
6.400000000000000000e+01,5.788031092420633961e+00
6.500000000000000000e+01,2.142293655020530707e+00
6.600000000000000000e+01,1.307276215702391609e+00
6.700000000000000000e+01,2.430042086828558823e+00
6.800000000000000000e+01,5.809923613509972995e+00
6.900000000000000000e+01,3.847127965685569695e+00
7.000000000000000000e+01,1.123198793043992616e+00
7.100000000000000000e+01,3.379126057165281694e+00
7.200000000000000000e+01,4.098682689740988927e+00
7.300000000000000000e+01,3.757558877021881738e+00
7.400000000000000000e+01,8.883896278227834120e-01
7.500000000000000000e+01,2.508788394605208971e+00
7.600000000000000000e+01,1.025717396921538738e+00
7.700000000000000000e+01,2.721239361213287467e+00
7.800000000000000000e+01,2.002004596251955260e+00
7.900000000000000000e+01,1.052895145771482355e+00
8.000000000000000000e+01,3.618166390779695707e+00
8.100000000000000000e+01,6.947357495061716737e-01
8.200000000000000000e+01,3.004769961609633278e+00
8.300000000000000000e+01,1.876700282641904138e+00
8.400000000000000000e+01,3.796270508492571860e+00
8.500000000000000000e+01,1.170132831260129125e+00
8.600000000000000000e+01,1.481125931793536132e+00
8.700000000000000000e+01,3.586028115763850721e+00
8.800000000000000000e+01,2.423466040092048690e+00
8.900000000000000000e+01,3.707341649690988117e+00
9.000000000000000000e+01,2.858773495472272330e+00
9.100000000000000000e+01,1.465983342665432732e+00
9.200000000000000000e+01,3.244605325119621853e+00
9.300000000000000000e+01,4.294183444756241919e+00
9.400000000000000000e+01,5.473849905497743862e+00
9.500000000000000000e+01,2.280187524128016729e+00
9.600000000000000000e+01,4.884444186533050569e+00
9.700000000000000000e+01,3.344176816486677861e+00
9.800000000000000000e+01,1.898535711598736464e+00
9.900000000000000000e+01,1.621142231901849140e+00
