,1-PGA-1-1
0.000000000000000000e+00,1.894973246210007289e+00
1.000000000000000000e+00,2.851735165514507564e+00
2.000000000000000000e+00,8.130199935888894558e+00
3.000000000000000000e+00,2.334453514836725585e+00
4.000000000000000000e+00,7.387984251349198894e-01
5.000000000000000000e+00,1.764493021548246610e+00
6.000000000000000000e+00,2.068905977340348645e+00
7.000000000000000000e+00,1.215518062395697596e+00
8.000000000000000000e+00,1.327012946561769935e+00
9.000000000000000000e+00,2.257007440199772841e+00
1.000000000000000000e+01,2.952535845402212367e+00
1.100000000000000000e+01,5.803648507710239102e+00
1.200000000000000000e+01,1.689630748977983599e+00
1.300000000000000000e+01,1.863302913665879190e+00
1.400000000000000000e+01,1.394822775919761115e+00
1.500000000000000000e+01,4.598564510114607762e-01
1.600000000000000000e+01,1.684454360827102981e+00
1.700000000000000000e+01,1.388308192833286103e+00
1.800000000000000000e+01,4.013373002422646607e+00
1.900000000000000000e+01,7.984673178895493884e-01
2.000000000000000000e+01,2.611691269790749725e+00
2.100000000000000000e+01,1.434462904670920302e+00
2.200000000000000000e+01,2.413561018906101641e+00
2.300000000000000000e+01,7.416137926983825679e-01
2.400000000000000000e+01,4.087290392586886867e+00
2.500000000000000000e+01,2.019526181682093302e+00
2.600000000000000000e+01,4.411935352587503800e+00
2.700000000000000000e+01,2.867521273015898320e+00
2.800000000000000000e+01,3.379680487255638965e+00
2.900000000000000000e+01,1.627570012828336798e+00
3.000000000000000000e+01,5.193181229239691277e+00
3.100000000000000000e+01,3.064043748238304055e+00
3.200000000000000000e+01,1.573581329781937654e+00
3.300000000000000000e+01,2.364711154530837245e+00
3.400000000000000000e+01,1.609259273038045723e+00
3.500000000000000000e+01,3.623812778837383508e+00
3.600000000000000000e+01,2.407378240433434069e+00
3.700000000000000000e+01,1.528992556579060080e+00
3.800000000000000000e+01,3.336461262507122161e+00
3.900000000000000000e+01,1.809916154268293331e+00
4.000000000000000000e+01,1.236154948077817561e+00
4.100000000000000000e+01,1.526390505125899910e+00
4.200000000000000000e+01,3.917907746227248467e+00
4.300000000000000000e+01,1.661130064970982145e+00
4.400000000000000000e+01,3.422739526879754912e+00
4.500000000000000000e+01,2.024417643602732575e+00
4.600000000000000000e+01,2.821407392387653701e+00
4.700000000000000000e+01,1.531071365259770944e+00
4.800000000000000000e+01,4.544627173540456866e+00
4.900000000000000000e+01,1.083655212124775780e+00
5.000000000000000000e+01,2.720200791408128538e+00
5.100000000000000000e+01,1.766207824590019460e+00
5.200000000000000000e+01,3.733210380870210177e+00
5.300000000000000000e+01,1.675027860968206772e+00
5.400000000000000000e+01,1.553911462777877395e+00
5.500000000000000000e+01,3.834708672578356570e+00
5.600000000000000000e+01,1.999761807062204744e+00
5.700000000000000000e+01,9.947132199554378218e-01
5.800000000000000000e+01,3.441139720174177352e+00
5.900000000000000000e+01,2.379786097126981304e+00
6.000000000000000000e+01,9.453352277954760741e-01
6.100000000000000000e+01,7.302912169732999059e-01
6.200000000000000000e+01,1.820841959885234340e+00
6.300000000000000000e+01,2.127010278290021539e+00
6.400000000000000000e+01,4.582846332349832963e+00
6.500000000000000000e+01,1.262125298778570270e+00
6.600000000000000000e+01,1.018232675375726481e+00
6.700000000000000000e+01,2.422807328289263040e+00
6.800000000000000000e+01,4.459399415803518174e+00
6.900000000000000000e+01,3.810329349555864997e+00
7.000000000000000000e+01,7.335009767914915102e-01
7.100000000000000000e+01,2.638047643475112558e+00
7.200000000000000000e+01,3.421557869835064380e+00
7.300000000000000000e+01,3.525684418150355270e+00
7.400000000000000000e+01,8.071156770879913678e-01
7.500000000000000000e+01,3.263092080626967650e+00
7.600000000000000000e+01,6.859361093973719292e-01
7.700000000000000000e+01,1.841006385651303034e+00
7.800000000000000000e+01,1.709261128770840354e+00
7.900000000000000000e+01,1.252095572295383041e+00
8.000000000000000000e+01,4.936853398005229820e+00
8.100000000000000000e+01,6.916980600230810960e-01
8.200000000000000000e+01,2.712882263864277110e+00
8.300000000000000000e+01,2.170661898133780188e+00
8.400000000000000000e+01,2.464345808782244518e+00
8.500000000000000000e+01,1.465010001487948577e+00
8.600000000000000000e+01,1.182023365467750109e+00
8.700000000000000000e+01,3.358441957933198108e+00
8.800000000000000000e+01,2.111376079681633211e+00
8.900000000000000000e+01,3.521519603269302578e+00
9.000000000000000000e+01,3.174936746287484901e+00
9.100000000000000000e+01,1.487968794324075583e+00
9.200000000000000000e+01,1.981472472699926213e+00
9.300000000000000000e+01,3.702245498430213111e+00
9.400000000000000000e+01,5.397798228256647235e+00
9.500000000000000000e+01,2.373743692044585352e+00
9.600000000000000000e+01,4.208009194404451314e+00
9.700000000000000000e+01,3.488964925904523895e+00
9.800000000000000000e+01,1.328181593076009248e+00
9.900000000000000000e+01,1.903403455915171794e+00
