,Collapse,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood,DS likelihood
,probability,S,S,S,S,S,S
, ,0,1_1,2_1,3_1,4_1,4_2
0,0.06,0.17021276595744683,0.08510638297872342,0.3404255319148936,0.2553191489361702,0.14893617021276595,
