,1-PGA-1-1
0.000000000000000000e+00,2.350543890946442005e+00
1.000000000000000000e+00,3.055564782201439122e+00
2.000000000000000000e+00,8.979564278679928790e+00
3.000000000000000000e+00,2.583898386707803585e+00
4.000000000000000000e+00,2.344273823023182768e+00
5.000000000000000000e+00,2.086755530701862149e+00
6.000000000000000000e+00,1.956908164539659101e+00
7.000000000000000000e+00,1.441038554441103292e+00
8.000000000000000000e+00,1.639712117885382181e+00
9.000000000000000000e+00,2.701752163826096176e+00
1.000000000000000000e+01,5.527022627737576244e+00
1.100000000000000000e+01,6.675882194032818795e+00
1.200000000000000000e+01,1.973924972988644333e+00
1.300000000000000000e+01,2.348784125053174243e+00
1.400000000000000000e+01,3.558584333340921280e+00
1.500000000000000000e+01,9.196113383627846360e-01
1.600000000000000000e+01,2.365412729726548591e+00
1.700000000000000000e+01,1.795262998036890378e+00
1.800000000000000000e+01,4.901832314181016059e+00
1.900000000000000000e+01,2.432868009071370352e+00
2.000000000000000000e+01,3.203481710583262476e+00
2.100000000000000000e+01,2.280815080270398365e+00
2.200000000000000000e+01,3.929066975043370658e+00
2.300000000000000000e+01,1.082578815141261641e+00
2.400000000000000000e+01,6.426086310090644460e+00
2.500000000000000000e+01,2.244611174799171938e+00
2.600000000000000000e+01,4.733467548807920977e+00
2.700000000000000000e+01,2.765933372504648879e+00
2.800000000000000000e+01,3.342612250558859355e+00
2.900000000000000000e+01,1.937520723233743469e+00
3.000000000000000000e+01,5.257964393602165387e+00
3.100000000000000000e+01,3.811988515979404468e+00
3.200000000000000000e+01,2.639656583595460848e+00
3.300000000000000000e+01,2.360399003556617803e+00
3.400000000000000000e+01,2.612467780512185644e+00
3.500000000000000000e+01,5.681949520392788777e+00
3.600000000000000000e+01,4.816448779512616518e+00
3.700000000000000000e+01,1.503654538810768493e+00
3.800000000000000000e+01,2.983436550647566854e+00
3.900000000000000000e+01,3.900303593602131080e+00
4.000000000000000000e+01,1.900067458317658220e+00
4.100000000000000000e+01,3.109543452343062064e+00
4.200000000000000000e+01,2.587842997965668079e+00
4.300000000000000000e+01,2.505305944259215600e+00
4.400000000000000000e+01,3.177233187586806729e+00
4.500000000000000000e+01,4.174260370587755453e+00
4.600000000000000000e+01,3.802140936797599124e+00
4.700000000000000000e+01,1.941764599116987844e+00
4.800000000000000000e+01,5.927663558534627342e+00
4.900000000000000000e+01,3.037706056999622817e+00
5.000000000000000000e+01,3.726430277938150848e+00
5.100000000000000000e+01,1.474390443483232449e+00
5.200000000000000000e+01,4.787727840226614795e+00
5.300000000000000000e+01,2.139983031999289409e+00
5.400000000000000000e+01,2.411364680066907074e+00
5.500000000000000000e+01,6.662734339137555750e+00
5.600000000000000000e+01,4.097265982977475574e+00
5.700000000000000000e+01,1.912670003204965941e+00
5.800000000000000000e+01,3.957511667814768153e+00
5.900000000000000000e+01,3.156044349381703196e+00
6.000000000000000000e+01,1.622954814515792599e+00
6.100000000000000000e+01,1.963302433775016897e+00
6.200000000000000000e+01,2.229809414372884380e+00
6.300000000000000000e+01,2.723890237243468349e+00
6.400000000000000000e+01,4.623503821698074390e+00
6.500000000000000000e+01,2.453790613945263654e+00
6.600000000000000000e+01,1.530588307455490682e+00
6.700000000000000000e+01,3.266729655573772817e+00
6.800000000000000000e+01,6.301936051438453923e+00
6.900000000000000000e+01,2.308961188905498840e+00
7.000000000000000000e+01,1.835224865914019121e+00
7.100000000000000000e+01,2.861148494412288912e+00
7.200000000000000000e+01,6.825973275319798361e+00
7.300000000000000000e+01,4.280218466085222495e+00
7.400000000000000000e+01,1.653046618585121807e+00
7.500000000000000000e+01,4.508087732563864414e+00
7.600000000000000000e+01,1.315423815564687571e+00
7.700000000000000000e+01,4.544486120469936274e+00
7.800000000000000000e+01,2.841293102264876858e+00
7.900000000000000000e+01,1.583228126241182476e+00
8.000000000000000000e+01,4.099544148115642273e+00
8.100000000000000000e+01,1.946809986000064940e+00
8.200000000000000000e+01,3.107740072404295173e+00
8.300000000000000000e+01,3.863124255020955911e+00
8.400000000000000000e+01,4.895062927813733644e+00
8.500000000000000000e+01,3.419499796418647541e+00
8.600000000000000000e+01,1.664440693213913747e+00
8.700000000000000000e+01,5.665761428836850300e+00
8.800000000000000000e+01,2.873941923975952939e+00
8.900000000000000000e+01,3.416886194355003958e+00
9.000000000000000000e+01,3.492151906364431291e+00
9.100000000000000000e+01,1.877598868417101441e+00
9.200000000000000000e+01,2.548877641623755963e+00
9.300000000000000000e+01,8.379248785081564677e+00
9.400000000000000000e+01,5.693299842640798580e+00
9.500000000000000000e+01,3.334040565050697680e+00
9.600000000000000000e+01,5.724966427146117809e+00
9.700000000000000000e+01,4.778201873900364660e+00
9.800000000000000000e+01,1.879387455579184074e+00
9.900000000000000000e+01,2.219527804858250963e+00
