,1-PGA-1-1
0.000000000000000000e+00,1.700786385093574493e+00
1.000000000000000000e+00,2.727736734558535492e+00
2.000000000000000000e+00,7.488306559195847534e+00
3.000000000000000000e+00,1.545302939055718694e+00
4.000000000000000000e+00,1.415076191731329258e+00
5.000000000000000000e+00,1.768834405719692970e+00
6.000000000000000000e+00,2.084320232090920211e+00
7.000000000000000000e+00,1.378289939897681338e+00
8.000000000000000000e+00,1.415588584660430582e+00
9.000000000000000000e+00,2.686881818078422413e+00
1.000000000000000000e+01,3.603084362727413392e+00
1.100000000000000000e+01,5.920660040632028220e+00
1.200000000000000000e+01,1.370394473991124906e+00
1.300000000000000000e+01,1.469303276411434434e+00
1.400000000000000000e+01,2.472677375506293185e+00
1.500000000000000000e+01,4.603805269549748336e-01
1.600000000000000000e+01,1.793250092762495029e+00
1.700000000000000000e+01,1.481737134539749201e+00
1.800000000000000000e+01,3.781121507290024386e+00
1.900000000000000000e+01,9.273380662586973022e-01
2.000000000000000000e+01,2.321927761677590407e+00
2.100000000000000000e+01,1.722208995759952677e+00
2.200000000000000000e+01,2.884968043103062652e+00
2.300000000000000000e+01,8.282064536220068440e-01
2.400000000000000000e+01,6.087111694947624052e+00
2.500000000000000000e+01,1.448036014555571516e+00
2.600000000000000000e+01,4.396629395744687585e+00
2.700000000000000000e+01,2.742872385808795332e+00
2.800000000000000000e+01,2.799039129393816161e+00
2.900000000000000000e+01,1.464789478044300264e+00
3.000000000000000000e+01,4.438536392792703289e+00
3.100000000000000000e+01,4.216141907982429160e+00
3.200000000000000000e+01,1.909714450089694315e+00
3.300000000000000000e+01,2.265427587409313492e+00
3.400000000000000000e+01,1.971234770757252397e+00
3.500000000000000000e+01,3.889528522737078386e+00
3.600000000000000000e+01,3.051693654398231814e+00
3.700000000000000000e+01,1.136947976066930099e+00
3.800000000000000000e+01,2.928455802270986119e+00
3.900000000000000000e+01,3.307942055608683152e+00
4.000000000000000000e+01,1.189241116513755525e+00
4.100000000000000000e+01,2.123968653387978911e+00
4.200000000000000000e+01,2.756004297870480180e+00
4.300000000000000000e+01,2.084416918914484995e+00
4.400000000000000000e+01,2.983983204315072690e+00
4.500000000000000000e+01,2.215488830865906422e+00
4.600000000000000000e+01,2.189703398810312507e+00
4.700000000000000000e+01,1.600786153888564378e+00
4.800000000000000000e+01,4.832070705030629298e+00
4.900000000000000000e+01,2.148816477607665920e+00
5.000000000000000000e+01,2.967913160137443995e+00
5.100000000000000000e+01,7.938818234207426494e-01
5.200000000000000000e+01,3.880950776572735350e+00
5.300000000000000000e+01,1.247560476047050670e+00
5.400000000000000000e+01,1.160522643757998740e+00
5.500000000000000000e+01,4.975640570875125235e+00
5.600000000000000000e+01,2.396461390051188634e+00
5.700000000000000000e+01,1.122357922140630127e+00
5.800000000000000000e+01,3.837848358951460703e+00
5.900000000000000000e+01,2.325523261686747389e+00
6.000000000000000000e+01,1.261019735354578231e+00
6.100000000000000000e+01,1.017104184850701420e+00
6.200000000000000000e+01,1.699575344693869727e+00
6.300000000000000000e+01,1.991645723568003401e+00
6.400000000000000000e+01,4.500263946043229879e+00
6.500000000000000000e+01,1.565730121673438724e+00
6.600000000000000000e+01,1.148070856030627640e+00
6.700000000000000000e+01,2.230315432282812260e+00
6.800000000000000000e+01,5.434027553140403199e+00
6.900000000000000000e+01,3.422846441259014050e+00
7.000000000000000000e+01,7.607069139969643290e-01
7.100000000000000000e+01,3.011094242686067624e+00
7.200000000000000000e+01,8.300453368798820009e+00
7.300000000000000000e+01,3.738731195349465519e+00
7.400000000000000000e+01,9.428268710717740975e-01
7.500000000000000000e+01,3.042800687736510579e+00
7.600000000000000000e+01,7.215035679330360496e-01
7.700000000000000000e+01,2.556518878578040610e+00
7.800000000000000000e+01,2.149377496727690406e+00
7.900000000000000000e+01,9.291488228372249969e-01
8.000000000000000000e+01,2.647031699107930791e+00
8.100000000000000000e+01,9.851330299920646461e-01
8.200000000000000000e+01,2.927397469929325258e+00
8.300000000000000000e+01,2.119051260859114549e+00
8.400000000000000000e+01,3.837350599319093725e+00
8.500000000000000000e+01,1.450886326919236247e+00
8.600000000000000000e+01,1.523858055504168307e+00
8.700000000000000000e+01,3.817752882368915301e+00
8.800000000000000000e+01,2.031345037856650659e+00
8.900000000000000000e+01,3.663075199659192815e+00
9.000000000000000000e+01,2.574714380778967193e+00
9.100000000000000000e+01,1.274194407926221295e+00
9.200000000000000000e+01,1.914069705758955964e+00
9.300000000000000000e+01,6.400163410954319509e+00
9.400000000000000000e+01,4.590068848891971420e+00
9.500000000000000000e+01,2.472393974943546180e+00
9.600000000000000000e+01,5.309959657181257064e+00
9.700000000000000000e+01,2.980009600692573812e+00
9.800000000000000000e+01,1.439256518129320872e+00
9.900000000000000000e+01,1.923413914141456571e+00
