,1-PGA-1-1
0.000000000000000000e+00,1.961486982186350314e+00
1.000000000000000000e+00,2.280436636558963226e+00
2.000000000000000000e+00,8.137037054978254247e+00
3.000000000000000000e+00,2.007763379993179775e+00
4.000000000000000000e+00,8.791638872746074806e-01
5.000000000000000000e+00,1.889469920977115525e+00
6.000000000000000000e+00,1.480794385946194280e+00
7.000000000000000000e+00,1.097833437606881679e+00
8.000000000000000000e+00,1.272873270947173285e+00
9.000000000000000000e+00,3.175640191516835298e+00
1.000000000000000000e+01,4.023227488106056349e+00
1.100000000000000000e+01,5.377794926070001758e+00
1.200000000000000000e+01,1.553833275797406266e+00
1.300000000000000000e+01,9.034257616658852852e-01
1.400000000000000000e+01,2.314150336910978822e+00
1.500000000000000000e+01,6.870333151370311420e-01
1.600000000000000000e+01,1.664867139895692238e+00
1.700000000000000000e+01,2.258311111063372678e+00
1.800000000000000000e+01,5.396236133136254054e+00
1.900000000000000000e+01,1.148765818252430737e+00
2.000000000000000000e+01,2.950317980696898879e+00
2.100000000000000000e+01,1.763304704409450085e+00
2.200000000000000000e+01,3.815424985806362468e+00
2.300000000000000000e+01,7.206949604726368142e-01
2.400000000000000000e+01,4.823410201176403511e+00
2.500000000000000000e+01,1.581265739033533402e+00
2.600000000000000000e+01,4.562449629036173349e+00
2.700000000000000000e+01,2.338667326741982855e+00
2.800000000000000000e+01,3.938046147065075164e+00
2.900000000000000000e+01,1.982387599396729927e+00
3.000000000000000000e+01,6.100274187602185982e+00
3.100000000000000000e+01,3.855995735466676066e+00
3.200000000000000000e+01,1.522083666671194324e+00
3.300000000000000000e+01,2.796707841618134793e+00
3.400000000000000000e+01,1.569773175157250789e+00
3.500000000000000000e+01,4.284410079088440071e+00
3.600000000000000000e+01,2.646312761062815877e+00
3.700000000000000000e+01,1.233135574859009598e+00
3.800000000000000000e+01,2.885163746622993131e+00
3.900000000000000000e+01,3.208596752837771238e+00
4.000000000000000000e+01,1.526219112944069867e+00
4.100000000000000000e+01,1.702628689944552187e+00
4.200000000000000000e+01,3.022396992965178608e+00
4.300000000000000000e+01,2.248853615343297196e+00
4.400000000000000000e+01,3.633971094852071371e+00
4.500000000000000000e+01,2.115671189043746736e+00
4.600000000000000000e+01,2.506895382404782602e+00
4.700000000000000000e+01,1.217209606441302938e+00
4.800000000000000000e+01,5.172159039119522461e+00
4.900000000000000000e+01,1.226131909957238975e+00
5.000000000000000000e+01,2.516887484027805932e+00
5.100000000000000000e+01,1.145047553537018370e+00
5.200000000000000000e+01,3.844291281669138804e+00
5.300000000000000000e+01,1.863991240079676315e+00
5.400000000000000000e+01,1.495492083192403010e+00
5.500000000000000000e+01,5.170449134700019655e+00
5.600000000000000000e+01,2.953335212212415239e+00
5.700000000000000000e+01,1.091371673082713434e+00
5.800000000000000000e+01,3.297330286729772020e+00
5.900000000000000000e+01,3.096723771985657070e+00
6.000000000000000000e+01,1.442967578237984494e+00
6.100000000000000000e+01,1.468627738598410115e+00
6.200000000000000000e+01,2.107539551240308562e+00
6.300000000000000000e+01,2.487151969502230386e+00
6.400000000000000000e+01,5.773676445529149603e+00
6.500000000000000000e+01,2.250789861487795029e+00
6.600000000000000000e+01,9.686273992598509741e-01
6.700000000000000000e+01,2.939421162276389055e+00
6.800000000000000000e+01,5.041471518486607906e+00
6.900000000000000000e+01,3.682152336149735472e+00
7.000000000000000000e+01,7.825050906013840679e-01
7.100000000000000000e+01,4.593781302173590930e+00
7.200000000000000000e+01,4.684240950819127391e+00
7.300000000000000000e+01,2.830174754868182596e+00
7.400000000000000000e+01,7.104656553642216821e-01
7.500000000000000000e+01,2.474549295099132795e+00
7.600000000000000000e+01,9.957085559954286236e-01
7.700000000000000000e+01,1.950292522973983811e+00
7.800000000000000000e+01,1.843527648252847762e+00
7.900000000000000000e+01,8.247264087691494883e-01
8.000000000000000000e+01,3.050209174571026249e+00
8.100000000000000000e+01,7.760259676397694983e-01
8.200000000000000000e+01,3.274931016488783708e+00
8.300000000000000000e+01,1.509100504572528978e+00
8.400000000000000000e+01,2.597361993558288784e+00
8.500000000000000000e+01,1.710302900346892363e+00
8.600000000000000000e+01,1.136815999369827912e+00
8.700000000000000000e+01,3.973310237132649192e+00
8.800000000000000000e+01,2.112350881047502682e+00
8.900000000000000000e+01,4.043056180596362736e+00
9.000000000000000000e+01,3.214851698261384172e+00
9.100000000000000000e+01,1.819798634166725604e+00
9.200000000000000000e+01,2.849382598362668606e+00
9.300000000000000000e+01,4.294183444756241919e+00
9.400000000000000000e+01,5.441357230978409731e+00
9.500000000000000000e+01,2.055005196648851840e+00
9.600000000000000000e+01,4.884444186533050569e+00
9.700000000000000000e+01,3.259241042852348169e+00
9.800000000000000000e+01,1.948210160572655614e+00
9.900000000000000000e+01,2.165857465351278321e+00
