,1-PGA-1-1
0.000000000000000000e+00,1.650800450797525798e+00
1.000000000000000000e+00,2.583441046770147853e+00
2.000000000000000000e+00,7.767214840675761067e+00
3.000000000000000000e+00,1.929481879564698854e+00
4.000000000000000000e+00,1.243282669624241166e+00
5.000000000000000000e+00,1.663179662324324459e+00
6.000000000000000000e+00,1.889868105178771573e+00
7.000000000000000000e+00,1.152926340413553019e+00
8.000000000000000000e+00,1.751830970454753000e+00
9.000000000000000000e+00,2.460277931133064033e+00
1.000000000000000000e+01,3.020886059247982036e+00
1.100000000000000000e+01,4.909590517607837157e+00
1.200000000000000000e+01,1.354281994275706502e+00
1.300000000000000000e+01,9.789051534169664892e-01
1.400000000000000000e+01,2.177379107277318759e+00
1.500000000000000000e+01,5.694887890412051457e-01
1.600000000000000000e+01,2.069773969358446486e+00
1.700000000000000000e+01,1.470563285714510560e+00
1.800000000000000000e+01,5.358658457979057488e+00
1.900000000000000000e+01,1.017805175311471411e+00
2.000000000000000000e+01,2.482580318215146686e+00
2.100000000000000000e+01,1.582075884682917044e+00
2.200000000000000000e+01,3.174888994359301275e+00
2.300000000000000000e+01,6.741069432133934836e-01
2.400000000000000000e+01,6.729716560659506186e+00
2.500000000000000000e+01,2.001449391856247040e+00
2.600000000000000000e+01,4.334997646329136423e+00
2.700000000000000000e+01,2.379279064832888757e+00
2.800000000000000000e+01,3.832391572420020154e+00
2.900000000000000000e+01,1.573301444577753117e+00
3.000000000000000000e+01,5.203618601284142997e+00
3.100000000000000000e+01,3.230712265826381380e+00
3.200000000000000000e+01,1.656653989381529080e+00
3.300000000000000000e+01,2.587150630233289395e+00
3.400000000000000000e+01,2.198949923636473791e+00
3.500000000000000000e+01,4.713189048364398559e+00
3.600000000000000000e+01,3.331390332149646305e+00
3.700000000000000000e+01,1.180926937315475378e+00
3.800000000000000000e+01,2.831947023187220580e+00
3.900000000000000000e+01,3.025156550138779377e+00
4.000000000000000000e+01,1.096783350559679571e+00
4.100000000000000000e+01,1.447919772956495876e+00
4.200000000000000000e+01,2.602054138118094162e+00
4.300000000000000000e+01,2.281415918542392340e+00
4.400000000000000000e+01,3.015546260659031308e+00
4.500000000000000000e+01,2.400952249589095366e+00
4.600000000000000000e+01,2.278071185757484240e+00
4.700000000000000000e+01,1.422571179369507943e+00
4.800000000000000000e+01,4.819380689560529341e+00
4.900000000000000000e+01,2.003184123841055264e+00
5.000000000000000000e+01,2.445186316477395483e+00
5.100000000000000000e+01,9.752008519008144027e-01
5.200000000000000000e+01,3.751208490265286688e+00
5.300000000000000000e+01,1.568019863484821474e+00
5.400000000000000000e+01,1.066646388031257775e+00
5.500000000000000000e+01,4.422432885758511567e+00
5.600000000000000000e+01,2.858562740151238124e+00
5.700000000000000000e+01,9.622220321462653381e-01
5.800000000000000000e+01,4.068970842211409256e+00
5.900000000000000000e+01,2.236598210026700340e+00
6.000000000000000000e+01,9.880142604076621593e-01
6.100000000000000000e+01,8.591898285367252086e-01
6.200000000000000000e+01,1.608201555403332206e+00
6.300000000000000000e+01,1.927203359179890496e+00
6.400000000000000000e+01,4.613346167839046608e+00
6.500000000000000000e+01,1.593416527207868638e+00
6.600000000000000000e+01,1.084449488122717131e+00
6.700000000000000000e+01,1.938358713614120710e+00
6.800000000000000000e+01,6.706883354073445602e+00
6.900000000000000000e+01,3.543661073002322137e+00
7.000000000000000000e+01,7.638303652314353265e-01
7.100000000000000000e+01,3.341284422946864563e+00
7.200000000000000000e+01,4.664476971797576255e+00
7.300000000000000000e+01,3.543728097736626115e+00
7.400000000000000000e+01,8.168148575819784707e-01
7.500000000000000000e+01,2.841145152052043876e+00
7.600000000000000000e+01,5.823302954692121114e-01
7.700000000000000000e+01,2.285226406094770013e+00
7.800000000000000000e+01,2.015319373033447548e+00
7.900000000000000000e+01,8.155391083234736493e-01
8.000000000000000000e+01,2.808463501027072429e+00
8.100000000000000000e+01,1.038314347180667063e+00
8.200000000000000000e+01,2.953876086031366199e+00
8.300000000000000000e+01,1.648907323369108724e+00
8.400000000000000000e+01,3.663765819829261527e+00
8.500000000000000000e+01,1.281878639413996712e+00
8.600000000000000000e+01,1.199979838060391213e+00
8.700000000000000000e+01,3.662098674727307657e+00
8.800000000000000000e+01,2.283867975347057211e+00
8.900000000000000000e+01,4.238226225376240386e+00
9.000000000000000000e+01,3.022772416829531572e+00
9.100000000000000000e+01,1.526477771605669220e+00
9.200000000000000000e+01,2.107067500345055855e+00
9.300000000000000000e+01,5.898226858844680898e+00
9.400000000000000000e+01,4.038250715591212625e+00
9.500000000000000000e+01,2.865061500827080110e+00
9.600000000000000000e+01,6.056670682139601247e+00
9.700000000000000000e+01,2.611522254072202731e+00
9.800000000000000000e+01,1.814072526505342342e+00
9.900000000000000000e+01,1.912853179613404730e+00
