,1-PGA-1-1
0.000000000000000000e+00,1.519793637296207756e+00
1.000000000000000000e+00,2.851735165514507564e+00
2.000000000000000000e+00,8.130199935888894558e+00
3.000000000000000000e+00,1.473467899026483563e+00
4.000000000000000000e+00,6.990433403889195763e-01
5.000000000000000000e+00,1.810814926029451488e+00
6.000000000000000000e+00,1.417159183157725488e+00
7.000000000000000000e+00,1.066194641357617545e+00
8.000000000000000000e+00,1.327012946561769935e+00
9.000000000000000000e+00,2.366956759771634999e+00
1.000000000000000000e+01,3.309201065322935786e+00
1.100000000000000000e+01,5.803648507710239102e+00
1.200000000000000000e+01,1.689098651493139869e+00
1.300000000000000000e+01,1.260166660534712824e+00
1.400000000000000000e+01,1.514981249396196716e+00
1.500000000000000000e+01,4.571281371723738829e-01
1.600000000000000000e+01,1.663080160480999270e+00
1.700000000000000000e+01,1.280037460428357976e+00
1.800000000000000000e+01,4.014147784197659163e+00
1.900000000000000000e+01,8.319600371919975146e-01
2.000000000000000000e+01,2.269638289912562890e+00
2.100000000000000000e+01,1.434462904670920302e+00
2.200000000000000000e+01,2.622493476244731170e+00
2.300000000000000000e+01,8.177238030065816510e-01
2.400000000000000000e+01,3.902046527695656408e+00
2.500000000000000000e+01,1.923369714836898670e+00
2.600000000000000000e+01,3.922965956183925407e+00
2.700000000000000000e+01,2.178155046947611861e+00
2.800000000000000000e+01,3.415696558624139900e+00
2.900000000000000000e+01,1.627570012828336798e+00
3.000000000000000000e+01,5.702177045717323089e+00
3.100000000000000000e+01,3.292585121245986013e+00
3.200000000000000000e+01,1.549251580599302125e+00
3.300000000000000000e+01,2.373590059539437025e+00
3.400000000000000000e+01,1.378858563331299969e+00
3.500000000000000000e+01,3.810693653959946303e+00
3.600000000000000000e+01,2.407378240433434069e+00
3.700000000000000000e+01,1.418045887220691581e+00
3.800000000000000000e+01,2.410991203004992478e+00
3.900000000000000000e+01,1.908234036675151124e+00
4.000000000000000000e+01,1.236154948077817561e+00
4.100000000000000000e+01,1.580997931133047096e+00
4.200000000000000000e+01,3.911595936312631583e+00
4.300000000000000000e+01,1.589535087250587342e+00
4.400000000000000000e+01,3.181489297809008132e+00
4.500000000000000000e+01,2.062499949090858653e+00
4.600000000000000000e+01,2.492199832096852141e+00
4.700000000000000000e+01,1.426497866859527175e+00
4.800000000000000000e+01,4.770141665354265648e+00
4.900000000000000000e+01,9.879808739965443287e-01
5.000000000000000000e+01,2.773302609844560340e+00
5.100000000000000000e+01,1.766207824590019460e+00
5.200000000000000000e+01,4.188548497895579814e+00
5.300000000000000000e+01,1.675027860968206772e+00
5.400000000000000000e+01,1.060131734821930127e+00
5.500000000000000000e+01,3.834708672578356570e+00
5.600000000000000000e+01,1.958270256177433444e+00
5.700000000000000000e+01,1.111863808205274307e+00
5.800000000000000000e+01,3.599969859051135757e+00
5.900000000000000000e+01,2.112949175556381842e+00
6.000000000000000000e+01,9.174490502281811288e-01
6.100000000000000000e+01,8.502280597354069380e-01
6.200000000000000000e+01,1.857537996381811940e+00
6.300000000000000000e+01,2.142161160467193071e+00
6.400000000000000000e+01,4.308909850202338632e+00
6.500000000000000000e+01,1.278643030498174182e+00
6.600000000000000000e+01,9.465044520798542305e-01
6.700000000000000000e+01,2.276731232379034076e+00
6.800000000000000000e+01,4.835977758890334322e+00
6.900000000000000000e+01,3.810329349555864997e+00
7.000000000000000000e+01,6.787152674547662912e-01
7.100000000000000000e+01,2.459111956224439233e+00
7.200000000000000000e+01,3.398886800660802177e+00
7.300000000000000000e+01,3.050002230841845741e+00
7.400000000000000000e+01,7.372854264758808007e-01
7.500000000000000000e+01,3.029611691702963405e+00
7.600000000000000000e+01,6.770853886361091201e-01
7.700000000000000000e+01,1.841006385651303034e+00
7.800000000000000000e+01,1.872270546301664007e+00
7.900000000000000000e+01,1.308867154179394143e+00
8.000000000000000000e+01,4.433845401863245606e+00
8.100000000000000000e+01,8.697670598289076738e-01
8.200000000000000000e+01,2.595664870024667170e+00
8.300000000000000000e+01,2.308950567561724565e+00
8.400000000000000000e+01,2.579993345074620859e+00
8.500000000000000000e+01,1.805056423212328287e+00
8.600000000000000000e+01,1.371190458838163373e+00
8.700000000000000000e+01,3.358441957933198108e+00
8.800000000000000000e+01,1.918438867492041178e+00
8.900000000000000000e+01,3.740793924244465440e+00
9.000000000000000000e+01,3.561422965749399872e+00
9.100000000000000000e+01,1.573983314088956753e+00
9.200000000000000000e+01,2.212690648707600349e+00
9.300000000000000000e+01,4.013489675903922027e+00
9.400000000000000000e+01,5.530850702470861080e+00
9.500000000000000000e+01,2.206423255424379004e+00
9.600000000000000000e+01,3.448047963575200381e+00
9.700000000000000000e+01,2.719877402355445728e+00
9.800000000000000000e+01,1.423036110694317902e+00
9.900000000000000000e+01,1.288457087911770271e+00
