,1-PGA-1-1
0.000000000000000000e+00,2.149369454709787686e+00
1.000000000000000000e+00,3.128195504595340015e+00
2.000000000000000000e+00,8.686932427178547300e+00
3.000000000000000000e+00,2.088152823324217255e+00
4.000000000000000000e+00,1.669648038832988846e+00
5.000000000000000000e+00,2.139331479866839025e+00
6.000000000000000000e+00,1.896681208510639705e+00
7.000000000000000000e+00,1.376300062084280462e+00
8.000000000000000000e+00,1.320720307780435698e+00
9.000000000000000000e+00,2.638227503603769897e+00
1.000000000000000000e+01,4.325907359004165897e+00
1.100000000000000000e+01,5.473323250181327815e+00
1.200000000000000000e+01,1.460203052394822842e+00
1.300000000000000000e+01,1.277233216637608360e+00
1.400000000000000000e+01,2.643618507884947455e+00
1.500000000000000000e+01,4.961595988608480390e-01
1.600000000000000000e+01,1.815608140069234544e+00
1.700000000000000000e+01,1.507644988098503891e+00
1.800000000000000000e+01,4.520878123889557010e+00
1.900000000000000000e+01,1.387478438498127575e+00
2.000000000000000000e+01,2.512918382832473707e+00
2.100000000000000000e+01,1.870966240946936532e+00
2.200000000000000000e+01,4.181821553338909148e+00
2.300000000000000000e+01,6.741069432133934836e-01
2.400000000000000000e+01,6.936502293142661202e+00
2.500000000000000000e+01,2.061776424016518838e+00
2.600000000000000000e+01,4.624669467054276062e+00
2.700000000000000000e+01,2.992816500000668789e+00
2.800000000000000000e+01,4.160427241258807030e+00
2.900000000000000000e+01,1.488962851915225816e+00
3.000000000000000000e+01,4.707509221736825289e+00
3.100000000000000000e+01,4.122027400299048239e+00
3.200000000000000000e+01,1.716939862988709820e+00
3.300000000000000000e+01,3.318766739657066367e+00
3.400000000000000000e+01,1.837584780670912465e+00
3.500000000000000000e+01,4.795623002373060828e+00
3.600000000000000000e+01,3.292710452152834311e+00
3.700000000000000000e+01,1.427339492717209390e+00
3.800000000000000000e+01,3.398599082405825200e+00
3.900000000000000000e+01,4.113628744087807654e+00
4.000000000000000000e+01,1.443780464631257754e+00
4.100000000000000000e+01,2.219072197760652010e+00
4.200000000000000000e+01,3.145967547346613102e+00
4.300000000000000000e+01,2.640207196059982664e+00
4.400000000000000000e+01,2.998495488123911645e+00
4.500000000000000000e+01,2.507323591237929250e+00
4.600000000000000000e+01,2.432039953945921429e+00
4.700000000000000000e+01,1.798193081515149894e+00
4.800000000000000000e+01,5.730823346284706687e+00
4.900000000000000000e+01,2.683106368701828615e+00
5.000000000000000000e+01,2.718777439941761465e+00
5.100000000000000000e+01,8.871603639878236081e-01
5.200000000000000000e+01,4.055029960429296310e+00
5.300000000000000000e+01,1.592614754105102781e+00
5.400000000000000000e+01,1.538764645513469809e+00
5.500000000000000000e+01,4.356918108499501230e+00
5.600000000000000000e+01,3.068062442064905415e+00
5.700000000000000000e+01,9.786510003726365259e-01
5.800000000000000000e+01,3.643620403017158615e+00
5.900000000000000000e+01,2.551466458216395061e+00
6.000000000000000000e+01,1.550959882161393466e+00
6.100000000000000000e+01,1.354882377453700881e+00
6.200000000000000000e+01,2.334888327776675876e+00
6.300000000000000000e+01,2.590444272585666674e+00
6.400000000000000000e+01,5.830650217341413644e+00
6.500000000000000000e+01,1.541358755922360269e+00
6.600000000000000000e+01,1.338401761861513828e+00
6.700000000000000000e+01,2.605101821136385887e+00
6.800000000000000000e+01,7.935728876855236535e+00
6.900000000000000000e+01,4.193092548944369113e+00
7.000000000000000000e+01,1.260551589308693599e+00
7.100000000000000000e+01,3.737237213657087498e+00
7.200000000000000000e+01,5.627439192209673813e+00
7.300000000000000000e+01,4.416789383757524057e+00
7.400000000000000000e+01,1.224690782531787647e+00
7.500000000000000000e+01,3.286486194546804018e+00
7.600000000000000000e+01,9.676989051511597495e-01
7.700000000000000000e+01,3.156323648426492046e+00
7.800000000000000000e+01,2.681294935183590411e+00
7.900000000000000000e+01,1.051308032977851692e+00
8.000000000000000000e+01,3.281617591508394938e+00
8.100000000000000000e+01,1.018060104017263878e+00
8.200000000000000000e+01,4.282529257984919902e+00
8.300000000000000000e+01,2.503167896202695086e+00
8.400000000000000000e+01,4.519760306255657056e+00
8.500000000000000000e+01,1.880646527085088948e+00
8.600000000000000000e+01,1.457051656067676504e+00
8.700000000000000000e+01,4.057023295404174057e+00
8.800000000000000000e+01,2.739012022910912059e+00
8.900000000000000000e+01,4.249031999641790236e+00
9.000000000000000000e+01,3.920551155789128384e+00
9.100000000000000000e+01,1.560554243271313091e+00
9.200000000000000000e+01,2.981993935043492083e+00
9.300000000000000000e+01,6.462826836222888005e+00
9.400000000000000000e+01,4.041198433343843099e+00
9.500000000000000000e+01,3.083638400361327747e+00
9.600000000000000000e+01,6.257190174399411831e+00
9.700000000000000000e+01,2.930001933187513785e+00
9.800000000000000000e+01,1.658680672396624756e+00
9.900000000000000000e+01,1.912853179613404730e+00
